config,feature_bundle,repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
full_bundle,low_plus_medium,1,1,109,0.6434359805510534,0.9381443298969072,0.65,0.7679324894514767,0.14410480349344978,0.5789473684210527,0.23076923076923078,0.14177613788426113
no_raw_geo_ids,low_plus_medium,1,1,108,0.7082658022690438,0.9502369668246445,0.7160714285714286,0.8167006109979633,0.18461538461538463,0.631578947368421,0.2857142857142857,0.15559554784492108
core_no_geo_priors,low_plus_medium,1,1,76,0.6547811993517018,0.9553805774278216,0.65,0.7736450584484591,0.1694915254237288,0.7017543859649122,0.27303754266211605,0.15927112927240356
full_bundle,low_plus_medium,1,2,109,0.6126418152350082,0.9349593495934959,0.6160714285714286,0.7427341227125942,0.13306451612903225,0.5789473684210527,0.21639344262295082,0.11308260294315187
no_raw_geo_ids,low_plus_medium,1,2,108,0.6871961102106969,0.9379474940334129,0.7017857142857142,0.8028600612870276,0.15656565656565657,0.543859649122807,0.24313725490196078,0.12280426378294097
core_no_geo_priors,low_plus_medium,1,2,76,0.6158833063209076,0.9329758713136729,0.6214285714285714,0.7459807073954984,0.13114754098360656,0.5614035087719298,0.21262458471760798,0.11313079086147891
full_bundle,low_plus_medium,1,3,109,0.6266233766233766,0.9532967032967034,0.6196428571428572,0.7510822510822511,0.15476190476190477,0.6964285714285714,0.2532467532467532,0.18623372218291176
no_raw_geo_ids,low_plus_medium,1,3,108,0.698051948051948,0.9583333333333334,0.6982142857142857,0.8078512396694215,0.1875,0.6964285714285714,0.29545454545454547,0.17067900616244983
core_no_geo_priors,low_plus_medium,1,3,76,0.6428571428571429,0.9497354497354498,0.6410714285714286,0.7654584221748401,0.15546218487394958,0.6607142857142857,0.25170068027210885,0.17001852020342723
full_bundle,low_plus_medium,1,4,109,0.6038961038961039,0.9438202247191011,0.6,0.7336244541484717,0.13846153846153847,0.6428571428571429,0.22784810126582278,0.12220238922232952
no_raw_geo_ids,low_plus_medium,1,4,108,0.6412337662337663,0.9425587467362925,0.6446428571428572,0.7656415694591728,0.1459227467811159,0.6071428571428571,0.23529411764705882,0.12286988237422912
core_no_geo_priors,low_plus_medium,1,4,76,0.6314935064935064,0.9416445623342176,0.6339285714285714,0.7577374599786553,0.14225941422594143,0.6071428571428571,0.2305084745762712,0.12674933248491
full_bundle,low_plus_medium,1,5,109,0.612012987012987,0.9212598425196851,0.6267857142857143,0.7460148777895855,0.11063829787234042,0.4642857142857143,0.17869415807560138,0.10299964567439521
no_raw_geo_ids,low_plus_medium,1,5,108,0.6785714285714286,0.9228971962616822,0.7053571428571429,0.7995951417004049,0.12234042553191489,0.4107142857142857,0.1885245901639344,0.11564002043197144
core_no_geo_priors,low_plus_medium,1,5,76,0.6087662337662337,0.9230769230769231,0.6214285714285714,0.7427961579509071,0.11297071129707113,0.48214285714285715,0.18305084745762712,0.10266825164218821
full_bundle,low_plus_medium,2,1,109,0.640194489465154,0.9401041666666666,0.6446428571428572,0.7648305084745762,0.1459227467811159,0.5964912280701754,0.23448275862068965,0.17471285034663306
no_raw_geo_ids,low_plus_medium,2,1,108,0.6904376012965965,0.9403341288782816,0.7035714285714286,0.804902962206333,0.16161616161616163,0.5614035087719298,0.25098039215686274,0.15982132070040697
core_no_geo_priors,low_plus_medium,2,1,76,0.6580226904376013,0.9395465994962217,0.6660714285714285,0.7795193312434692,0.15,0.5789473684210527,0.23826714801444043,0.17001017884013767
full_bundle,low_plus_medium,2,2,109,0.6564019448946515,0.935,0.6678571428571428,0.7791666666666667,0.14285714285714285,0.543859649122807,0.22627737226277372,0.18215052739496806
no_raw_geo_ids,low_plus_medium,2,2,108,0.6645056726094003,0.9379652605459057,0.675,0.7850467289719626,0.14953271028037382,0.5614035087719298,0.23616236162361623,0.13745303120358165
core_no_geo_priors,low_plus_medium,2,2,76,0.6482982171799028,0.9319899244332494,0.6607142857142857,0.7732497387669801,0.13636363636363635,0.5263157894736842,0.21660649819494585,0.15668989699778174
full_bundle,low_plus_medium,2,3,109,0.5714285714285714,0.9352941176470588,0.5678571428571428,0.7066666666666667,0.12318840579710146,0.6071428571428571,0.20481927710843373,0.11630964544187765
no_raw_geo_ids,low_plus_medium,2,3,108,0.6623376623376623,0.94,0.6714285714285714,0.7833333333333333,0.14814814814814814,0.5714285714285714,0.23529411764705882,0.13860132899445052
core_no_geo_priors,low_plus_medium,2,3,76,0.5957792207792207,0.9380281690140845,0.5946428571428571,0.7278688524590164,0.13026819923371646,0.6071428571428571,0.21451104100946372,0.12425046757403317
full_bundle,low_plus_medium,2,4,109,0.6217532467532467,0.9455040871934605,0.6196428571428572,0.7486515641855448,0.14457831325301204,0.6428571428571429,0.2360655737704918,0.1163345316351565
no_raw_geo_ids,low_plus_medium,2,4,108,0.663961038961039,0.9358024691358025,0.6767857142857143,0.7854922279792746,0.14218009478672985,0.5357142857142857,0.2247191011235955,0.11872867671764537
core_no_geo_priors,low_plus_medium,2,4,76,0.6314935064935064,0.937007874015748,0.6375,0.7587672688629118,0.13617021276595745,0.5714285714285714,0.21993127147766323,0.11914334459190648
full_bundle,low_plus_medium,2,5,109,0.6233766233766234,0.9361702127659575,0.6285714285714286,0.7521367521367521,0.13333333333333333,0.5714285714285714,0.21621621621621623,0.11949287094497438
no_raw_geo_ids,low_plus_medium,2,5,108,0.6672077922077922,0.9318734793187348,0.6839285714285714,0.7888774459320288,0.13658536585365855,0.5,0.21455938697318008,0.12216609784853003
core_no_geo_priors,low_plus_medium,2,5,76,0.6428571428571429,0.9336734693877551,0.6535714285714286,0.7689075630252101,0.13392857142857142,0.5357142857142857,0.21428571428571427,0.12568057998050808
