t_open,n_total,closed_base_rate,open_bucket_n,open_bucket_fraction,review_bucket_n,review_bucket_fraction,closed_in_open_bucket,closed_rate_in_open_bucket,closed_in_review_bucket,closed_rate_in_review_bucket,closure_capture_in_review_bucket,review_bucket_lift_vs_base
0.02,3082,0.09149902660609993,0,0.0,3082,1.0,0,,282,0.09149902660609993,1.0,1.0
0.05,3082,0.09149902660609993,0,0.0,3082,1.0,0,,282,0.09149902660609993,1.0,1.0
0.1,3082,0.09149902660609993,0,0.0,3082,1.0,0,,282,0.09149902660609993,1.0,1.0
0.15,3082,0.09149902660609993,0,0.0,3082,1.0,0,,282,0.09149902660609993,1.0,1.0
0.2,3082,0.09149902660609993,0,0.0,3082,1.0,0,,282,0.09149902660609993,1.0,1.0
0.25,3082,0.09149902660609993,196,0.063595068137573,2886,0.936404931862427,4,0.02040816326530612,278,0.09632709632709632,0.9858156028368794,1.052766350638691
0.3,3082,0.09149902660609993,658,0.2134977287475665,2424,0.7865022712524334,24,0.0364741641337386,258,0.10643564356435643,0.9148936170212766,1.163243452004775
0.35,3082,0.09149902660609993,1204,0.390655418559377,1878,0.609344581440623,56,0.046511627906976744,226,0.12034078807241747,0.8014184397163121,1.3152138611318818
0.4,3082,0.09149902660609993,1566,0.5081116158338741,1516,0.4918883841661259,77,0.0491698595146871,205,0.13522427440633245,0.7269503546099291,1.4778766443982858
